Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,Cum. risk
39,All cancers,516,Namibia,NAM,0,0,18.8
39,All cancers,524,Nepal,NPL,0,0,8.65
39,All cancers,528,The Netherlands,NLD,0,0,32.77
39,All cancers,540,New Caledonia,NCL,0,0,28.98
39,All cancers,548,Vanuatu,VUT,0,0,11.58
39,All cancers,554,New Zealand,NZL,0,0,38.85
39,All cancers,558,Nicaragua,NIC,0,0,13.37
39,All cancers,562,Niger,NER,0,0,8.47
39,All cancers,566,Nigeria,NGA,0,0,12.12
39,All cancers,578,Norway,NOR,0,0,33.64
39,All cancers,586,Pakistan,PAK,0,0,11.02
39,All cancers,591,Panama,PAN,0,0,15.66
39,All cancers,598,Papua New Guinea,PNG,0,0,18.65
39,All cancers,600,Paraguay,PRY,0,0,19.08
39,All cancers,604,Peru,PER,0,0,16.75
39,All cancers,608,Philippines,PHL,0,0,19.15
39,All cancers,616,Poland,POL,0,0,26.91
39,All cancers,620,Portugal,PRT,0,0,28.58
39,All cancers,624,Guinea-Bissau,GNB,0,0,10.86
39,All cancers,626,Timor-Leste,TLS,0,0,9
39,All cancers,630,Puerto Rico,PRI,0,0,23.01
39,All cancers,634,Qatar,QAT,0,0,9.16
39,All cancers,638,"France, La Réunion",REU,0,0,21.13
39,All cancers,642,Romania,ROU,0,0,28.09
39,All cancers,643,Russian Federation,RUS,0,0,26.14
39,All cancers,646,Rwanda,RWA,0,0,8.99
39,All cancers,662,Saint Lucia,LCA,0,0,18.02
39,All cancers,678,Sao Tome and Principe,STP,0,0,11.93
39,All cancers,682,Saudi Arabia,SAU,0,0,9.06
39,All cancers,686,Senegal,SEN,0,0,11.79
39,All cancers,688,Serbia,SRB,0,0,25.58
39,All cancers,694,Sierra Leone,SLE,0,0,4.02
39,All cancers,702,Singapore,SGP,0,0,22.91
39,All cancers,703,Slovakia,SVK,0,0,28.78
39,All cancers,704,Viet Nam,VNM,0,0,15.99
39,All cancers,705,Slovenia,SVN,0,0,30.23
39,All cancers,706,Somalia,SOM,0,0,12.42
39,All cancers,710,South Africa,ZAF,0,0,20.46
39,All cancers,716,Zimbabwe,ZWE,0,0,21.15
