Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,ASR (World),Crude rate,Cumulative risk,Total
Other specified cancers,37,903_904_905_908_909_935,N.A.,0,14.19,19.92,,1570389
Other specified cancers,37,903_904_905_908_909_935,N.A.,0,37.69,52.18,,4114177
Other specified cancers,37,903_904_905_908_909_935,N.A.,0,56.53,77.22,,6088744
Unspecified sites,38,903_904_905_908_909_935,N.A.,0,1.73,2.12,,166976
Unspecified sites,38,903_904_905_908_909_935,N.A.,0,3.75,4.5,,354536
Unspecified sites,38,903_904_905_908_909_935,N.A.,0,5.33,6.3,,496825
All cancers,39,903_904_905_908_909_935,N.A.,0,140.62,178.92,,14108041
All cancers,39,903_904_905_908_909_935,N.A.,0,362.64,455.8,,35939998
All cancers,39,903_904_905_908_909_935,N.A.,0,544.69,678.55,,53504187
All cancers excl. non-melanoma skin cancer,40,903_904_905_908_909_935,N.A.,0,131.6,165.3,,13033981
All cancers excl. non-melanoma skin cancer,40,903_904_905_908_909_935,N.A.,0,338.53,419.9,,33109314
All cancers excl. non-melanoma skin cancer,40,903_904_905_908_909_935,N.A.,0,508.54,625.51,,49322012
Colorectum,41,903_904_905_908_909_935,N.A.,0,14.21,18.74,,1477839
Colorectum,41,903_904_905_908_909_935,N.A.,0,37.5,49,,3863571
Colorectum,41,903_904_905_908_909_935,N.A.,0,56.36,73.15,,5767781
